address,price,sold_date,sold_type,bedrooms,bathroom,car_space,land_size (m2),house_type
"14 Broadwater Drive,WATERWAYS VIC ss",1740000,04 Mar 2025,auction,4,4,2.0,663.0,House
"16B Keswick Street,BENTLEIGH EAST VIC ss",1530000,27 Feb 2025,auction,4,4,2.0,663.0,Townhouse
"5 Patersonia Street,TORQUAY VIC ss",1350000,25 Feb 2025,private treaty,4,4,2.0,400.0,House
"30 Alice Street,MALVERN VIC ss",3390000,22 Feb 2025,auction,4,4,2.0,400.0,House
"17-19 Pound Road,WARRANDYTE VIC ss4,",3400000,22 Feb 2025,private treaty,4,4,2.0,28.0,House
"6/10 Cook Street,BUNDOORA VIC ss",680000,21 Feb 2025,private treaty,4,4,2.0,79.0,Townhouse
"6/226A Kooyong Road,TOORAK VIC ss",3900000,15 Feb 2025,auction,4,4,2.0,490.0,House
"78 Lum Road,WHEELERS HILL VIC ss1,",1955000,15 Feb 2025,auction,4,4,2.0,117.0,House
"1A Wellesley Street,MONT ALBERT VIC ss",2502000,13 Feb 2025,auction,4,4,2.0,117.0,House
"11 Beachview Parade,POINT COOK VIC ss",1100000,10 Feb 2025,private treaty,4,4,2.0,576.0,House
"42 Bertrand Avenue,MULGRAVE VIC ss",1627000,09 Feb 2025,auction,4,4,2.0,653.0,House
"1/1 Woodlea Street,DONCASTER EAST VIC ss",1411000,08 Feb 2025,auction,4,4,2.0,375.0,Townhouse
"79 Lincolnheath Boulevard,POINT COOK VIC ss",1080888,08 Feb 2025,auction,4,4,2.0,679.0,House
"38A Langridge Street,MIDDLE PARK VIC ss",5700000,06 Feb 2025,private treaty,4,4,2.0,378.0,House
"85 Tulsi Avenue,WERRIBEE VIC ss",895000,06 Feb 2025,private treaty,4,4,2.0,320.0,House
"21 Widmark road,TRUGANINA VIC ss",950000,05 Feb 2025,private treaty,4,4,2.0,500.0,House
"87 South Road,BRIGHTON VIC ss",4415000,29 Jan 2025,private treaty,4,4,2.0,500.0,House
"19 Goodenia Way,CAROLINE SPRINGS VIC ss",935000,25 Jan 2025,private treaty,4,4,2.0,560.0,House
"3 The Boomerang,GISBORNE VIC ss1,",980000,24 Jan 2025,private treaty,4,4,2.0,106.0,House
"4 Margaret Street,ST LEONARDS VIC ss1,",1150000,24 Jan 2025,private treaty,4,4,2.0,29.0,House
"164-166 Melbourne Road,WILLIAMSTOWN VIC ss",1450000,24 Jan 2025,private treaty,4,4,2.0,532.0,House
"12 Spray Street,MORNINGTON VIC ss",1400000,15 Jan 2025,private treaty,4,4,2.0,629.0,House
"1/18 Linden Street,BRUNSWICK EAST VIC ss",1950000,11 Jan 2025,private treaty,4,4,2.0,629.0,House
"2/52 Rose Avenue,GLEN WAVERLEY VIC ss",1860000,10 Jan 2025,private treaty,4,4,2.0,629.0,Townhouse
"29 Renshaw Street,DONCASTER EAST VIC ss",1620000,19 Dec 2024,private treaty,4,4,2.0,629.0,House
"101 Eglinton Street,KEW VIC ss",2110000,18 Dec 2024,auction,4,4,2.0,629.0,House
"49a Tristania Street,DONCASTER EAST VIC ss",1557500,17 Dec 2024,private treaty,4,4,2.0,629.0,House
"16 Manders Street,BERWICK VIC ss",1760000,16 Dec 2024,private treaty,4,4,2.0,674.0,House
"2/396a New Street,BRIGHTON VIC ss",2700000,16 Dec 2024,private treaty,4,4,2.0,674.0,Townhouse
"163 Fairways Boulevard,CRAIGIEBURN VIC ss",920000,16 Dec 2024,auction,4,4,2.0,400.0,House
"922 Canterbury Road,BOX HILL SOUTH VIC ss",2400000,14 Dec 2024,auction,4,4,2.0,621.0,House
"8 Christina Street,BURWOOD VIC ss",1700000,14 Dec 2024,auction,4,4,2.0,340.0,Townhouse
"35 Kitchener Street,DEEPDENE VIC ss",2780000,14 Dec 2024,private treaty,4,4,2.0,340.0,House
"39 Astoria Drive,POINT COOK VIC ss",1700000,13 Dec 2024,private treaty,4,4,2.0,547.0,House
"12 Spiteri Place,TRUGANINA VIC ss",1255000,13 Dec 2024,auction,4,4,2.0,625.0,House
"6 Viola Street,DONNYBROOK VIC ss",825000,12 Dec 2024,private treaty,4,4,2.0,625.0,House
"4/31 Kireep Road,BALWYN VIC ss",1852800,10 Dec 2024,private treaty,4,4,2.0,625.0,Townhouse
"5 Salina Court,FRANKSTON SOUTH VIC ss",1152000,10 Dec 2024,auction,4,4,2.0,498.0,House
"6 Arbour Avenue,POINT COOK VIC ss",1351000,10 Dec 2024,private treaty,4,4,2.0,570.0,House
"22 The Water Course,KEYSBOROUGH VIC ss",1890000,07 Dec 2024,auction,4,4,2.0,636.0,House
"99 Disraeli Street,KEW VIC ss",4210000,06 Dec 2024,auction,4,4,2.0,636.0,House
"27 Normanby Terrace,LORNE VIC ss",2480000,06 Dec 2024,private treaty,4,4,2.0,636.0,House
"86 Greenridge Avenue,TEMPLESTOWE VIC ss",1811800,06 Dec 2024,private treaty,4,4,2.0,427.0,House
"2/412 Middleborough Road,BLACKBURN VIC ss",1200000,04 Dec 2024,private treaty,4,4,2.0,427.0,Townhouse
"3 Ruby Street,HAWTHORN VIC ss",7300000,02 Dec 2024,private treaty,4,4,2.0,427.0,House
"2/15 Elm Grove,KEW EAST VIC ss",1520000,30 Nov 2024,private treaty,4,4,2.0,427.0,Townhouse
"1/1 Baker Street,MURRUMBEENA VIC ss",1359000,30 Nov 2024,auction,4,4,2.0,240.0,Townhouse
"3 Edward Street,HAWTHORN VIC ss",2900000,29 Nov 2024,auction,4,4,2.0,240.0,House
"23 South Crescent,HEIDELBERG WEST VIC ss",920000,29 Nov 2024,sold prior to auction,4,4,2.0,240.0,House
"130 Plymouth Road,RINGWOOD VIC ss",2218800,28 Nov 2024,private treaty,4,4,2.0,605.0,House
"11 Homevale Drive,BOTANIC RIDGE VIC ss",1245000,27 Nov 2024,private treaty,4,4,2.0,576.0,House
"3/24 Botanic Drive,GLEN WAVERLEY VIC ss",1430000,27 Nov 2024,auction,4,4,2.0,576.0,Townhouse
"13 Grazing Way,CLYDE NORTH VIC ss",1300000,25 Nov 2024,private treaty,4,4,2.0,538.0,House
"15A Harold Street,BULLEEN VIC ss",1720000,23 Nov 2024,auction,4,4,2.0,538.0,House
"2A Beech Street,MALVERN EAST VIC ss",2150000,23 Nov 2024,auction,4,4,2.0,538.0,House
"4 Blueberry Street,GREENVALE VIC ss",1050000,22 Nov 2024,sold prior to auction,4,4,2.0,448.0,House
"18 Fairbairn Road,TOORAK VIC ss",7237500,21 Nov 2024,private treaty,4,4,2.0,448.0,House
"2617 Point Nepean Road,RYE VIC ss1,",3705000,18 Nov 2024,private treaty,4,4,2.0,120.0,House
"44/111 Kinross Avenue,EDITHVALE VIC ss",875000,16 Nov 2024,auction,4,4,2.0,120.0,Townhouse
"39 Jordan Street,MALVERN VIC ss",4320000,15 Nov 2024,auction,4,4,2.0,120.0,House
"33 Litoria Drive,DEANSIDE VIC ss",795000,14 Nov 2024,private treaty,4,4,2.0,400.0,House
"20 Cavendish Drive,TEMPLESTOWE LOWER VIC ss",1380000,14 Nov 2024,private treaty,4,4,2.0,356.0,Townhouse
"101 Cerberus Drive,OCEAN GROVE VIC ss1,",1600000,13 Nov 2024,private treaty,4,4,2.0,0.0,House
"1554 Princes Highway,ROSEBROOK VIC ss8,",1080000,13 Nov 2024,private treaty,4,4,2.0,875.0,House
"47A First Street,BLACK ROCK VIC ss",3200000,10 Nov 2024,auction,4,4,2.0,875.0,House
"2/12 Fisher Court,BENTLEIGH EAST VIC ss",1520000,08 Nov 2024,auction,4,4,2.0,875.0,Townhouse
"66 Nancarrow Drive,DOREEN VIC ss",1215000,31 Oct 2024,private treaty,4,4,2.0,479.0,House
"129 Powlett Street,EAST MELBOURNE VIC ss",7350000,30 Oct 2024,private treaty,4,4,2.0,424.0,House
"45 Regent Street,BRIGHTON EAST VIC ss",3090000,29 Oct 2024,private treaty,4,4,2.0,617.0,House
"2/4 Albert Street,TRARALGON VIC ss",760000,29 Oct 2024,private treaty,4,4,2.0,581.0,House
"12 Playwright Street,CLYDE NORTH VIC ss",1600000,28 Oct 2024,private treaty,4,4,2.0,540.0,House
"2/1 Bradstreet Road,MOUNT WAVERLEY VIC ss",1576000,27 Oct 2024,auction,4,4,2.0,540.0,Townhouse
"13A Stanley Street,BRIGHTON VIC ss",3615000,26 Oct 2024,auction,4,4,2.0,409.0,House
"27 Glenda Street,DONCASTER VIC ss",2100000,26 Oct 2024,auction,4,4,2.0,400.0,House
"10 Seabreezer Place,SANCTUARY LAKES VIC ss",970088,22 Oct 2024,private treaty,4,4,2.0,400.0,House
"277 Orrong Road,ST KILDA EAST VIC ss1,",3000000,21 Oct 2024,private treaty,4,4,2.0,57.0,House
"95 Kellett Street,NORTHCOTE VIC ss",4450000,20 Oct 2024,private treaty,4,4,2.0,57.0,House
"95 Kellett Street,NORTHCOTE VIC ss",4450000,20 Oct 2024,private treaty,4,4,2.0,57.0,House
"17 Cumberland Avenue,BALWYN NORTH VIC ss",3810000,19 Oct 2024,auction,4,4,2.0,670.0,House
"1/40 Ella Grove,CHELSEA VIC ss",1305000,19 Oct 2024,auction,4,4,2.0,297.0,Townhouse
"62 Cooper Street,ESSENDON VIC ss",2800000,19 Oct 2024,auction,4,4,2.0,540.0,House
"6 Wimmera Crescent,WOLLERT VIC ss",899000,19 Oct 2024,auction,4,4,2.0,390.0,House
"5 Leindan Court,MOUNT ELIZA VIC ss2,",3800000,18 Oct 2024,private treaty,4,4,2.0,697.0,House
"6 Notlen Street,RINGWOOD VIC ss",1300000,18 Oct 2024,private treaty,4,4,2.0,697.0,Townhouse
"11 Townhall Avenue,PRESTON VIC ss",1450000,17 Oct 2024,private treaty,4,4,2.0,697.0,House
"72 Watson Road,MOUNT MARTHA VIC ss",3400000,15 Oct 2024,private treaty,4,4,2.0,833.0,House
"5A Ralund Road,DONCASTER VIC ss",1738800,12 Oct 2024,auction,4,4,2.0,833.0,House
"22 Alisma Avenue,DEANSIDE VIC ss",800000,09 Oct 2024,private treaty,4,4,2.0,400.0,House
"36 Reigate Road,HIGHTON VIC ss1,",2260000,09 Oct 2024,private treaty,4,4,2.0,108.0,House
"11 Milton Crescent,BOX HILL SOUTH VIC ss",1400000,06 Oct 2024,auction,4,4,2.0,407.0,House
"46 Emily Street,CARNEGIE VIC ss",2640000,05 Oct 2024,auction,4,4,2.0,625.0,House
"38D Grey Street,ST KILDA VIC ss",3750000,04 Oct 2024,private treaty,4,4,2.0,625.0,House
"66 Soudan Street,COBURG VIC ss",1400000,02 Oct 2024,auction,4,4,2.0,625.0,House
"2/27 Lilac Street,BENTLEIGH EAST VIC ss",929000,01 Oct 2024,auction,4,4,2.0,625.0,Townhouse
"41 Snead Boulevard,CRANBOURNE VIC ss",1650000,01 Oct 2024,auction,4,4,2.0,512.0,House
"15 Gallery Place,WHEELERS HILL VIC ss",2450000,29 Sep 2024,private treaty,4,4,2.0,700.0,House
"10 Caitlin Chase,ARMSTRONG CREEK VIC ss",1035000,24 Sep 2024,private treaty,4,4,2.0,640.0,House
"21 Morrisey Terrace,AINTREE VIC ss",995000,18 Sep 2024,private treaty,4,4,2.0,400.0,House
"1/1 Woolert Street,ASHWOOD VIC ss",1656000,15 Sep 2024,auction,4,4,2.0,400.0,Townhouse
"245 Bridport Street West,ALBERT PARK VIC ss",6200000,14 Sep 2024,auction,4,4,2.0,457.0,House
"46 Parkhill Road,KEW VIC ss",3670000,12 Sep 2024,auction,4,4,2.0,577.0,House
"72 Hotham Road,NIDDRIE VIC ss",3110001,12 Sep 2024,private treaty,4,4,2.0,650.0,House
"17B Olinda Street,CAULFIELD SOUTH VIC ss",2185000,10 Sep 2024,private treaty,4,4,2.0,650.0,Townhouse
"8 Trevena Close,ROWVILLE VIC ss",2035000,10 Sep 2024,private treaty,4,4,2.0,650.0,House
"102 Kerferd Road,ALBERT PARK VIC ss",6250000,07 Sep 2024,auction,4,4,2.0,388.0,House
"23 Malcolm Creek Parade,CRAIGIEBURN VIC ss",1440000,07 Sep 2024,auction,4,4,2.0,388.0,House
"36 Avocet Street,DONCASTER EAST VIC ss",1780000,07 Sep 2024,auction,4,4,2.0,388.0,House
"15 Everglade Avenue,FOREST HILL VIC ss",2010000,07 Sep 2024,auction,4,4,2.0,593.0,House
"61 Alwyn Street,MITCHAM VIC ss",1780000,07 Sep 2024,sold prior to auction,4,4,2.0,690.0,House
"6 Waterside Circuit,SANDHURST VIC ss",1650000,06 Sep 2024,private treaty,4,4,2.0,541.0,House
"13 Sheldon Drive,BERWICK VIC ss",1150000,05 Sep 2024,private treaty,4,4,2.0,653.0,House
"98 Balaclava Road,CAULFIELD NORTH VIC ss",3495000,04 Sep 2024,auction,4,4,2.0,817.0,House
"3/37 Ashburn Grove,ASHBURTON VIC ss",1526666,31 Aug 2024,auction,4,4,2.0,817.0,Townhouse
"21B Sixth Avenue,BURWOOD VIC ss",2105000,31 Aug 2024,auction,4,4,2.0,817.0,Townhouse
"1/42 Sesame Street,MOUNT WAVERLEY VIC ss",1931000,31 Aug 2024,auction,4,4,2.0,817.0,House
"15 Royal Pines Drive,DROUIN VIC ss2,",1355000,29 Aug 2024,private treaty,4,4,2.0,84.0,House
"111 Evans Drive,CROYDON VIC ss",1455000,25 Aug 2024,private treaty,4,4,2.0,622.0,House
"86 Shanks Drive,BERWICK VIC ss",1215000,20 Aug 2024,private treaty,4,4,2.0,318.0,House
"8 Tedesco Circuit,WILLIAMSTOWN NORTH VIC ss",902000,20 Aug 2024,private treaty,4,4,2.0,318.0,Townhouse
"15 Comer Street,BRIGHTON EAST VIC ss",2606000,17 Aug 2024,auction,4,4,2.0,412.0,Townhouse
"83 Great Ryrie Street,HEATHMONT VIC ss",1820000,17 Aug 2024,private treaty,4,4,2.0,674.0,House
"31 Avenel Road,KOOYONG VIC ss",3260000,17 Aug 2024,private treaty,4,4,2.0,606.0,House
"1/4-5 Tawonga Court,GLEN WAVERLEY VIC ss",2455000,16 Aug 2024,private treaty,4,4,2.0,624.0,House
"33 Hooper Grove,MOUNT MARTHA VIC ss1,",2250000,16 Aug 2024,private treaty,4,4,2.0,214.0,House
"2A Enfield Road,BRIGHTON VIC ss",3750000,10 Aug 2024,auction,4,4,2.0,214.0,Townhouse
"12 Mountleigh Court,GLEN WAVERLEY VIC ss",1975000,10 Aug 2024,auction,4,4,2.0,680.0,House
"81 Chi Avenue,KEYSBOROUGH VIC ss",1276000,10 Aug 2024,auction,4,4,2.0,680.0,House
"14 Sunhill Road,MOUNT WAVERLEY VIC ss",1918000,10 Aug 2024,auction,4,4,2.0,392.0,House
"5 Glen Eira Road,RIPPONLEA VIC ss",2600000,10 Aug 2024,private treaty,4,4,2.0,392.0,House
"13B Glenora Avenue,COBURG VIC ss",1552000,09 Aug 2024,sold prior to auction,4,4,2.0,392.0,House
"21B Maxwell Grove,CAULFIELD VIC ss",2320000,08 Aug 2024,sold prior to auction,4,4,2.0,392.0,Townhouse
"9 Howard Avenue,RINGWOOD EAST VIC ss",1065000,08 Aug 2024,private treaty,4,4,2.0,770.0,House
"38B Price Avenue,MOUNT WAVERLEY VIC ss",1620000,05 Aug 2024,private treaty,4,4,2.0,770.0,Townhouse
"7a Colchester Drive,DONCASTER EAST VIC ss",1870000,03 Aug 2024,auction,4,4,2.0,391.0,Townhouse
"29 Sassafras Drive,TEMPLESTOWE LOWER VIC ss",1450000,03 Aug 2024,auction,4,4,2.0,391.0,Townhouse
"5 Finch Street,DONCASTER EAST VIC ss",1988800,02 Aug 2024,auction,4,4,2.0,390.0,House
"21 Taurus Street,BALWYN NORTH VIC ss",2015000,27 Jul 2024,private treaty,4,4,2.0,695.0,House
"3/46 View Street,PASCOE VALE VIC ss",895000,27 Jul 2024,auction,4,4,2.0,695.0,Townhouse
"27 Control Street,GREENVALE VIC ss",1195000,26 Jul 2024,private treaty,4,4,2.0,695.0,House
"14 Baker Street,ST KILDA VIC ss",4450000,22 Jul 2024,private treaty,4,4,2.0,654.0,House
"7 Eminence Boulevard,DOREEN VIC ss",1451150,21 Jul 2024,private treaty,4,4,2.0,872.0,House
"10A Dingley Street,TEMPLESTOWE LOWER VIC ss",1941000,20 Jul 2024,auction,4,4,2.0,378.0,Townhouse
"12A Dean Avenue,ST KILDA EAST VIC ss",2640000,19 Jul 2024,private treaty,4,4,2.0,378.0,House
"2a Rowena Street,CAULFIELD NORTH VIC ss",2450000,16 Jul 2024,auction,4,4,2.0,378.0,Townhouse
"17 Mather Road,MOUNT ELIZA VIC ss",1281000,14 Jul 2024,private treaty,4,4,2.0,378.0,House
"8 Cypress Way,KEW VIC ss",2550000,13 Jul 2024,private treaty,4,4,2.0,510.0,House
"64 Royal St Georges Chase,BOTANIC RIDGE VIC ss",1400000,12 Jul 2024,private treaty,4,4,2.0,595.0,House
"2 Bryony Way,BEVERIDGE VIC ss",900000,11 Jul 2024,private treaty,4,4,2.0,541.0,House
"61 Warburton Road,CANTERBURY VIC ss",3115000,08 Jul 2024,private treaty,4,4,2.0,541.0,House
"51 Princess Street,KEW VIC ss",2850000,08 Jul 2024,private treaty,4,4,2.0,743.0,House
"5 Noorilim Close,TEMPLESTOWE VIC ss",1850000,06 Jul 2024,sold prior to auction,4,4,2.0,722.0,House
