address,price,sold_date,sold_type,bedrooms,bathroom,car_space,land_size (m2),house_type
"3/57 Reserve Road,MELTON VIC",400000,03 Jul 2024,private treaty,1,1,0.0,161.0,House
"36 Stettler Boulevard,MICKLEHAM VIC",249000,29 Jun 2024,auction,1,1,0.0,225.0,House
"B5100 Martha Cove Water Way,SAFETY BEACH VIC",249000,27 Jun 2024,private treaty,1,1,0.0,225.0,House
"17 Gladstone Street,GLENROWAN VIC 3,",265000,20 Jun 2024,private treaty,1,1,0.0,674.0,House
"22 Garfield Street,FITZROY VIC",972500,15 Jun 2024,private treaty,1,1,0.0,674.0,House
"77 King George Street,COHUNA VIC",258500,14 Jun 2024,private treaty,1,1,0.0,227.0,House
"10 High Street,FRAMLINGHAM VIC 24,",255000,10 Jun 2024,private treaty,1,1,0.0,78.0,House
"40 Herbert Street,DANDENONG VIC",970000,08 Jun 2024,auction,1,1,0.0,900.0,House
"29-37 Simpson Street,EAST MELBOURNE VIC 1,",17000000,05 Jun 2024,private treaty,1,1,0.0,376.0,Development site
"32 Chester Road,ALTONA VIC",2050000,03 Jun 2024,private treaty,1,1,0.0,376.0,House
"135 Reids Way,WOORAGEE VIC",720000,31 May 2024,private treaty,0,0,,3747140600.0,Vacant land
"Berth B5101 Martha Cove Waterway,SAFETY BEACH VIC",210000,30 May 2024,private treaty,1,1,0.0,82.0,House
"21/16 South Circular Road,GLADSTONE PARK VIC",335000,24 May 2024,private treaty,1,1,0.0,82.0,Villa
"28 Johns Crescent,MOUNT EVELYN VIC 2,",749950,24 May 2024,private treaty,1,1,0.0,23.0,House
"408/100 Kavanagh Street,SOUTHBANK VIC",320000,22 May 2024,private treaty,1,1,0.0,23.0,House
"7 New Street,ARMADALE VIC",950000,21 May 2024,sold prior to auction,1,1,0.0,134.0,House
"21 HOBAN STREET,WATCHEM VIC 1,",85000,20 May 2024,private treaty,1,1,0.0,926.0,House
"21 Leslie Street,ST KILDA EAST VIC",850000,18 May 2024,private treaty,1,1,0.0,926.0,House
"1 Walker Street,HEALESVILLE VIC",564000,17 May 2024,sold prior to auction,1,1,0.0,903.0,House
"3A Keeley Lane,CARLTON NORTH VIC",915000,04 May 2024,auction,1,1,0.0,903.0,Terrace
"Boatshed 37 Tyrone Foreshore,RYE VIC",350000,03 May 2024,auction,1,1,0.0,903.0,House
"13 Grant St,FORREST VIC",355000,29 Apr 2024,private treaty,1,1,0.0,801.0,House
"173 Doncaster Road,BALWYN NORTH VIC",1700000,23 Apr 2024,private treaty,1,1,0.0,726.0,House
"Lot 3, 546 Corangamite Lake Road,COROROOKE VIC",350000,19 Apr 2024,private treaty,1,1,0.0,835.0,House
"29 Navarre Road,ST ARNAUD VIC 1,",170000,19 Apr 2024,private treaty,1,1,0.0,816.0,House
"17 Kokoda Avenue,HAMILTON VIC",155000,17 Apr 2024,auction,1,1,0.0,662.0,House
"Site 15/29 Wallaby Rise Caravan Park Hurley Road,GLENMAGGIE VIC",16500,15 Apr 2024,private treaty,1,1,0.0,662.0,House
"216 Biggs Street,ST ALBANS VIC 1,",850000,15 Apr 2024,auction,1,1,0.0,156.0,House
"241 Hickey Road,KATANDRA WEST VIC",125000,09 Apr 2024,private treaty,1,1,0.0,869.0,House
"21a Laity Street,RICHMOND VIC",970000,05 Apr 2024,private treaty,1,1,0.0,869.0,Townhouse
"2261 Beechworth-Wangaratta Road,TARRAWINGEE VIC 4,",585000,05 Apr 2024,private treaty,1,1,0.0,88.0,House
"52 Powlett Street,KILMORE VIC",555000,29 Mar 2024,private treaty,1,1,0.0,88.0,House
"9 Orr Street,YARRAWONGA VIC",464000,28 Mar 2024,private treaty,1,1,0.0,569.0,House
"4/2-4 Queen Street,BENDIGO VIC",470000,22 Mar 2024,private treaty,1,1,0.0,569.0,House
"6 Cameron Close,BUXTON VIC 4,",302000,21 Mar 2024,private treaty,1,1,0.0,105.0,House
"5 Thomson Street,LEXTON VIC 8,",285000,20 Mar 2024,private treaty,1,1,0.0,93.0,House
"10 Mackay Street,EAST BENDIGO VIC",310000,18 Mar 2024,private treaty,1,1,0.0,93.0,House
"20 Eustace Street,BLACKBURN VIC",616000,16 Mar 2024,auction,1,1,0.0,188.0,House
"6 Pontford Court,WHEELERS HILL VIC 1,",1350000,14 Mar 2024,sold prior to auction,1,1,0.0,189.0,House
"19E Curdie Street,COBDEN VIC",125000,13 Mar 2024,sold prior to auction,1,1,0.0,189.0,House
"41 Taplins Road,CATANI VIC 2,",318182,07 Mar 2024,private treaty,1,1,0.0,23.0,House
"2375 Willow Grove Road,HILL END VIC 2,",350000,07 Mar 2024,private treaty,1,1,0.0,534.0,House
"47 Travers Street,THOMASTOWN VIC",566500,01 Mar 2024,auction,1,1,0.0,599.0,House
"20 Fisherman Drive,REEFTON VIC 5,",340000,28 Feb 2024,private treaty,1,1,0.0,577.0,House
"56B Havelock Street,ST KILDA VIC",727000,24 Feb 2024,private treaty,1,1,0.0,577.0,Townhouse
"345 Hughs Road,WANGOOM VIC 4,",528000,20 Feb 2024,private treaty,1,1,0.0,46.0,House
"115 Boatshed, Tyrone Foreshore,RYE VIC",330000,19 Feb 2024,private treaty,1,1,0.0,46.0,House
"Boatshed 13,BLAIRGOWRIE VIC",900000,17 Feb 2024,auction,1,1,0.0,46.0,House
"2/9 Swan Street,FOOTSCRAY VIC",525500,17 Feb 2024,auction,1,1,0.0,46.0,Townhouse
"18 Mill Street,WOODFORD VIC 1.13ha",500000,15 Feb 2024,private treaty,1,1,0.0,46.0,House
"234 Manifold Street,CAMPERDOWN VIC",290000,08 Feb 2024,private treaty,1,1,0.0,470.0,House
"98 Hume Street,GREENSBOROUGH VIC 4,",1175000,06 Feb 2024,private treaty,1,1,0.0,368.0,House
"Boatshed 127 South Beach,MOUNT MARTHA VIC",605000,25 Jan 2024,private treaty,1,1,0.0,24.0,House
"8 Boat Ramp Road,EAGLE POINT VIC",435000,24 Jan 2024,private treaty,1,1,0.0,829.0,House
"102 Barak Drive,LAUNCHING PLACE VIC",630000,23 Jan 2024,private treaty,1,1,0.0,829.0,House
"6/12-18 Margaret Crescent,BRAYBROOK VIC",369000,18 Jan 2024,private treaty,1,1,0.0,829.0,Villa
"12 Harders Street,PORTLAND VIC",202000,17 Jan 2024,private treaty,1,1,0.0,362.0,House
"6/1-7 Amsterdam Street,RICHMOND VIC",1075000,17 Jan 2024,auction,1,1,0.0,362.0,Townhouse
"28 Mason Street,NEWPORT VIC",590000,12 Jan 2024,private treaty,1,1,0.0,120.0,House
"212 Dromana Parade,SAFETY BEACH VIC",1500000,20 Dec 2023,private treaty,1,1,0.0,586.0,House
"25 Little Gold Street,BRUNSWICK VIC",720000,19 Dec 2023,private treaty,1,1,0.0,586.0,House
"16 Goughs Crescent,GOUGHS BAY VIC 2,",550000,13 Dec 2023,private treaty,1,1,0.0,967.0,House
"1050 Whittlesea Kinglake Road,KINGLAKE WEST VIC 2,",552000,13 Dec 2023,private treaty,1,1,0.0,216.0,House
"161 Belgrave-Gembrook Road,SELBY VIC 1,",425000,08 Dec 2023,private treaty,1,1,0.0,242.0,House
"2 Harris Street,NORTH MELBOURNE VIC",876000,07 Dec 2023,auction,1,1,0.0,242.0,House
"32 Corby Street,BALWYN NORTH VIC",2000000,03 Dec 2023,private treaty,1,1,0.0,663.0,House
"Boatshed 52 Ranelagh Beach,MOUNT ELIZA VIC",300000,28 Nov 2023,private treaty,1,1,0.0,663.0,House
"17 Cutty Sark Road,CORONET BAY VIC",360000,27 Nov 2023,private treaty,1,1,0.0,529.0,House
"13 Corby Street,BALWYN NORTH VIC",2020000,20 Nov 2023,sold prior to auction,1,1,0.0,676.0,House
"55 McRae Street,PORT CAMPBELL VIC 4,",800000,18 Nov 2023,private treaty,1,1,0.0,46.0,House
"1B Sydney Street,CHELTENHAM VIC",890000,16 Nov 2023,auction,1,1,0.0,483.0,House
"5/816 Heidelberg Kinglake Road,HURSTBRIDGE VIC",485000,15 Nov 2023,private treaty,1,1,0.0,483.0,House
"Beach Box 31 Shire Hall Beach,MORNINGTON VIC",180000,15 Nov 2023,private treaty,1,1,0.0,483.0,House
"38-40 Oke Street,OUYEN VIC",181500,14 Nov 2023,private treaty,1,1,0.0,765.0,House
"1/55 Droop Street,FOOTSCRAY VIC",360000,13 Nov 2023,private treaty,1,1,0.0,765.0,Townhouse
"1 Beach Avenue,INVERLOCH VIC 1,",1270000,10 Nov 2023,private treaty,1,1,0.0,35.0,House
"Boatshed 97 South Beach,MOUNT MARTHA VIC",620000,10 Nov 2023,private treaty,1,1,0.0,35.0,House
"Lot 12 Hunt Court,WALWA VIC",73000,08 Nov 2023,private treaty,1,1,0.0,686.0,House
"72 Moore Street,ROCHESTER VIC",340000,03 Nov 2023,private treaty,1,1,0.0,639.0,House
"80 Gladstone Road,BRIAR HILL VIC",610000,29 Oct 2023,private treaty,1,1,0.0,948.0,House
"84 Bennett Street,FITZROY NORTH VIC",930000,25 Oct 2023,private treaty,1,1,0.0,948.0,House
"9 Boat Shed,CAPEL SOUND VIC",215000,20 Oct 2023,private treaty,1,1,0.0,948.0,House
"14 Moyston-dunkeld Rd,MOYSTON VIC 7,",287500,18 Oct 2023,private treaty,1,1,0.0,924.0,House
"153 Arnold St,BENDIGO VIC",420000,16 Oct 2023,private treaty,1,1,0.0,985.0,House
"848 Eureka Street,BALLARAT EAST VIC",330000,13 Oct 2023,private treaty,1,1,0.0,845.0,House
"6 Bridge Street,BETHANGA VIC 2,",286000,10 Oct 2023,private treaty,1,1,0.0,703.0,House
"18 Mary Street,NORTH MELBOURNE VIC",815000,04 Oct 2023,private treaty,1,1,0.0,703.0,House
"16H Stables Lane,SOUTH YARRA VIC",370000,30 Sep 2023,private treaty,1,1,0.0,703.0,Townhouse
"457 Macclesfield Road,MACCLESFIELD VIC 4,",906000,28 Sep 2023,private treaty,1,1,0.0,47.0,House
"30 First Street,BLACK ROCK VIC",2405000,16 Sep 2023,auction,1,1,0.0,948.0,House
"5 Simson Street,CARISBROOK VIC",187000,15 Sep 2023,private treaty,1,1,0.0,556.0,House
"22 Main Street,DERRINALLUM VIC",195000,12 Sep 2023,private treaty,1,1,0.0,443.0,House
"39 Sutton Street,BALWYN NORTH VIC",2888000,09 Sep 2023,private treaty,1,1,0.0,801.0,House
"15 Seacombe Street,FITZROY NORTH VIC",1200000,09 Sep 2023,auction,1,1,0.0,801.0,House
"4 Bear St,INVERLOCH VIC 1,",935000,09 Sep 2023,private treaty,1,1,0.0,69.0,House
"3 Hunt Street,WODONGA VIC",350000,07 Sep 2023,private treaty,1,1,0.0,755.0,House
"325 Ninks Road,ST ANDREWS VIC 8.09ha",580000,06 Sep 2023,private treaty,1,1,0.0,755.0,House
"1 John Mcphees Drive,TOOLONDO VIC 2.98ha",240000,04 Sep 2023,private treaty,1,1,0.0,755.0,House
"2/30 Hadley Street,SEAFORD VIC",285000,02 Sep 2023,private treaty,1,1,0.0,76.0,Villa
"Boatshed 28 Capel Sound Foreshore,CAPEL SOUND VIC",125000,31 Aug 2023,private treaty,1,1,0.0,76.0,House
"19/133-139 Jacaranda Street,RED CLIFFS VIC",83000,28 Aug 2023,private treaty,1,1,0.0,32.0,House
"126 Buckley Street,FOOTSCRAY VIC",580000,21 Aug 2023,private treaty,1,1,0.0,82.0,House
"3 White Street,AVONDALE HEIGHTS VIC",950000,14 Aug 2023,private treaty,1,1,0.0,591.0,House
"67 Hade Avenue,BASS VIC 1,",351200,14 Aug 2023,private treaty,1,1,0.0,33.0,House
"77 Martha Cove Water Way,SAFETY BEACH VIC",650000,14 Aug 2023,private treaty,1,1,0.0,134.0,House
"15/96 Gisborne Road,BACCHUS MARSH VIC",106000,09 Aug 2023,private treaty,1,1,0.0,134.0,Retirement Living
"4511/19 Hoff Boulevard,SOUTHBANK VIC",579000,07 Aug 2023,private treaty,1,1,0.0,134.0,House
"6/91 Liddiard Road,TRARALGON VIC",170000,04 Aug 2023,private treaty,1,1,0.0,81.0,House
"16/1728 Dandenong Road,CLAYTON VIC",140000,02 Aug 2023,private treaty,1,1,0.0,81.0,House
"4 Meredith Street,NELSON VIC",259600,29 Jul 2023,private treaty,1,1,0.0,81.0,House
"25 Chum Creek Road,HEALESVILLE VIC",485000,28 Jul 2023,private treaty,1,1,0.0,850.0,House
"28 Montgomery Street,SKIPTON VIC",145000,27 Jul 2023,private treaty,1,1,0.0,340.0,House
"4811/19 Hoff Boulevard,SOUTHBANK VIC",604000,24 Jul 2023,private treaty,1,1,0.0,340.0,House
"52 Memorial Road,GLENTHOMPSON VIC 2,",346000,14 Jul 2023,private treaty,1,1,0.0,320.0,House
"Lot 3/71 Baldock Road,MORNINGTON VIC 2,",1420000,14 Jul 2023,sold prior to auction,1,1,0.0,2.0,House
"2908/19 Hoff Boulevard,SOUTHBANK VIC",547000,13 Jul 2023,private treaty,1,1,0.0,2.0,House
"362 Dorcas Street,SOUTH MELBOURNE VIC",953000,06 Jul 2023,private treaty,1,1,0.0,2.0,House
"2911/19 Hoff Boulevard,SOUTHBANK VIC",548000,05 Jul 2023,private treaty,1,1,0.0,2.0,House
"1 & 3 Beech Court,SUNSHINE WEST VIC",1060000,04 Jul 2023,private treaty,1,1,0.0,,Vacant land
"29 Phoenix Park,GLENGARRY VIC",272000,30 Jun 2023,private treaty,1,1,0.0,780.0,House
"2 Forest Street,WOODEND VIC 1,",567000,30 Jun 2023,private treaty,1,1,0.0,175.0,House
"27 Schutt Street,NEWPORT VIC",597500,22 Jun 2023,private treaty,1,1,0.0,175.0,House
"4704/19 Hoff Boulevard,SOUTHBANK VIC",708000,21 Jun 2023,private treaty,1,1,0.0,175.0,House
"31 Henry Crescent,SEAFORD VIC",593000,16 Jun 2023,private treaty,1,1,0.0,532.0,Vacant land
"2407/19 HOFF BOULEVARD,SOUTHBANK VIC",577000,14 Jun 2023,private treaty,1,1,0.0,532.0,House
"11 Eram Road,BOX HILL NORTH VIC",1020000,10 Jun 2023,auction,1,1,0.0,637.0,House
"Boatshed 230 Dromana Foreshore,DROMANA VIC",200000,03 Jun 2023,private treaty,1,1,0.0,637.0,House
"3411 Murray Valley Highway,BONEGILLA VIC",220000,02 Jun 2023,private treaty,1,1,0.0,637.0,House
"22 Garfield Street,FITZROY VIC",900000,25 May 2023,private treaty,1,1,0.0,637.0,House
"3512 Sunraysia Highway,LEXTON VIC 6,",490000,04 May 2023,private treaty,1,1,0.0,0.0,House
"117 King Street,TEMPLESTOWE VIC",1450000,02 May 2023,private treaty,1,1,0.0,959.0,House
"Boatshed 127,ROSEBUD VIC",172500,01 May 2023,private treaty,1,1,0.0,959.0,House
"77 Fletcher Street,CASTLEMAINE VIC 1,",550000,28 Apr 2023,private treaty,1,1,0.0,33.0,House
"46 Cromie Street,RUPANYUP VIC 1,",55000,28 Apr 2023,private treaty,1,1,0.0,38.0,House
"28/38 Kirriemuir Court,ELLIMINYT VIC",410000,26 Apr 2023,private treaty,1,1,0.0,38.0,House
"19 Harrison Way,KILSYTH VIC",265000,26 Apr 2023,private treaty,1,1,0.0,38.0,Retirement Living
"Lot 1416 174 Mortons Road,PENTLAND HILLS VIC",319000,26 Apr 2023,private treaty,1,1,0.0,38.0,House
"5 Preece Street,ST ARNAUD VIC",100000,26 Apr 2023,private treaty,1,1,0.0,826.0,House
"2/392a Sandy Road,ST ANDREWS BEACH VIC 9,",1435000,23 Apr 2023,auction,1,1,0.0,624.0,House
"91 Newington Road,STAWELL VIC 1,",185000,23 Apr 2023,private treaty,1,1,0.0,0.0,House
"30 High Street,LISMORE VIC",260000,17 Apr 2023,private treaty,1,1,0.0,624.0,House
"4 Austin Avenue,MCCRAE VIC",690000,15 Apr 2023,private treaty,1,1,0.0,832.0,House
"82 Ranelagh Beach,MOUNT ELIZA VIC",310000,14 Apr 2023,private treaty,1,1,0.0,832.0,New house and land
"Boatshed 82 Dromana Foreshore,DROMANA VIC",485000,09 Apr 2023,private treaty,1,1,0.0,832.0,House
"29/36 Kirriemuir Court,ELLIMINYT VIC",400000,05 Apr 2023,private treaty,1,1,0.0,832.0,House
"41 Malin Street,KEW VIC",2200000,05 Apr 2023,private treaty,1,1,0.0,832.0,House
"64 Kananook Avenue,SEAFORD VIC",760000,03 Apr 2023,private treaty,1,1,0.0,825.0,House
"4 Cooper Street,STAWELL VIC",70000,03 Apr 2023,private treaty,1,1,0.0,624.0,House
"28 High Street,MACARTHUR VIC 3,",240000,01 Apr 2023,private treaty,1,1,0.0,775.0,House
"3/20 Stanley Street,WARRNAMBOOL VIC",365000,28 Mar 2023,private treaty,1,1,0.0,775.0,House
"2485 Warburton Highway,YARRA JUNCTION VIC",713000,28 Mar 2023,private treaty,1,1,0.0,635.0,House
"3/27 Morrisons Avenue,MOUNT MARTHA VIC",985000,23 Mar 2023,private treaty,1,1,0.0,733.0,House
"10 Yuille Street,BRIGHTON VIC",2720000,17 Mar 2023,private treaty,1,1,0.0,527.0,House
"32 Sharrock Street,MURRAYVILLE VIC 1,",39950,17 Mar 2023,private treaty,1,1,0.0,253.0,House
"11 St Bernard Drive,TAWONGA SOUTH VIC",542500,17 Mar 2023,private treaty,1,1,0.0,459.0,House
"1 Westbrook Street,CHADSTONE VIC",858888,15 Mar 2023,private treaty,1,1,0.0,459.0,House
"27 Birdwood Avenue,STANHOPE VIC",151000,15 Mar 2023,private treaty,1,1,0.0,582.0,House
"Boatshed 47 , Tyrone Foreshore,RYE VIC",350000,09 Mar 2023,private treaty,1,1,0.0,582.0,House
"127 Hogan Street,TATURA VIC",280000,08 Mar 2023,private treaty,1,1,0.0,150.0,House
"35 Couch Street,SUNSHINE VIC",908000,04 Mar 2023,auction,1,1,0.0,840.0,House
"46-50 Conness Street,CHILTERN VIC",460000,03 Mar 2023,private treaty,1,1,0.0,706.0,House
"24 Gravesend Street,COLAC VIC",335000,02 Mar 2023,private treaty,1,1,0.0,543.0,House
"119 High Street,ROCHESTER VIC 1,",290000,01 Mar 2023,private treaty,1,1,0.0,940.0,House
"25-27 Bunbury St, Glenorchy Via,STAWELL VIC 2,",177000,01 Mar 2023,private treaty,1,1,0.0,23.0,House
"211 Arthurs Seat Road,RED HILL VIC 1,",1020000,27 Feb 2023,private treaty,1,1,0.0,403.0,House
"22 Carney Street,MOUNT EGERTON VIC 1,",268000,16 Feb 2023,auction,1,1,0.0,848.0,House
"5 Barkly Street,BOX HILL VIC",1320000,15 Feb 2023,private treaty,1,1,0.0,674.0,House
"620 Bambra-Cemetery Road,DEANS MARSH VIC 3,",443000,13 Feb 2023,private treaty,1,1,0.0,212.0,Vacant land
"42 Oke Street,OUYEN VIC",65000,09 Feb 2023,private treaty,1,1,0.0,312.0,House
"119A Cranbourne Road,FRANKSTON VIC",520000,07 Feb 2023,private treaty,1,1,0.0,794.0,House
"49 Eldon Street,GLENLYON VIC 6,",800000,07 Feb 2023,private treaty,1,1,0.0,294.0,House
"Boatshed 64 Rosebud Foreshore,MCCRAE VIC",450000,02 Feb 2023,private treaty,1,1,0.0,34.0,House
"129/116 Main Drive,MACLEOD VIC 5,",104000,25 Jan 2023,private treaty,1,1,0.0,98.0,House
